ticket_id,description,category,priority,resolution
1,Business partner search returns no results,Search,High,Rebuild search index
2,Mandatory field missing,Validation,Low,Provide mandatory values
3,Search performance is slow,Search,High,Optimize HANA indexes
4,Approval agent not assigned,Workflow,High,Update workflow configuration
5,Duplicate customer detected,Data Quality,Low,Merge duplicate customer records
6,Customer replication failed,Replication,Critical,Restart replication service
7,Workflow approval stuck,Workflow,High,Restart workflow
8,Approval agent not assigned,Workflow,Low,Update workflow configuration
9,Incomplete business partner data,Data Quality,Medium,Update mandatory attributes
10,Invalid business rule detected,Validation,Medium,Review validation logic
11,Material master not replicated to ECC,Replication,Medium,Check DRF configuration
12,Mandatory field missing,Validation,High,Provide mandatory values
13,Material type validation error,Validation,Critical,Correct validation rule
14,Replication queue blocked,Replication,High,Clear outbound queue
15,Material master not replicated to ECC,Replication,High,Check DRF configuration
16,Business partner duplicate record found,Data Quality,High,Merge duplicate business partners
17,Change request activation failed,Workflow,Critical,Activate change request manually
18,Material master not replicated to ECC,Replication,Low,Check DRF configuration
19,Duplicate supplier record created,Data Quality,Medium,Run duplicate check process
20,Duplicate supplier record created,Data Quality,Critical,Run duplicate check process
21,Workflow approval stuck,Workflow,Critical,Restart workflow
22,Replication queue blocked,Replication,Low,Clear outbound queue
23,Mandatory field missing,Validation,Low,Provide mandatory values
24,Incomplete business partner data,Data Quality,Low,Update mandatory attributes
25,Business partner duplicate record found,Data Quality,Critical,Merge duplicate business partners
26,Customer replication failed,Replication,High,Restart replication service
27,Business partner duplicate record found,Data Quality,High,Merge duplicate business partners
28,Mandatory field missing,Validation,Low,Provide mandatory values
29,Mandatory field missing,Validation,Critical,Provide mandatory values
30,Material master not replicated to ECC,Replication,Medium,Check DRF configuration
31,Change request activation failed,Workflow,High,Activate change request manually
32,Invalid business rule detected,Validation,High,Review validation logic
33,Search returns incorrect results,Search,Critical,Synchronize search index
34,Replication queue blocked,Replication,Medium,Clear outbound queue
35,Approval agent not assigned,Workflow,Low,Update workflow configuration
36,Change request activation failed,Workflow,High,Activate change request manually
37,Duplicate customer detected,Data Quality,Medium,Merge duplicate customer records
38,Invalid business rule detected,Validation,High,Review validation logic
39,Customer validation failed,Validation,Critical,Review BRF+ rules
40,Customer validation failed,Validation,High,Review BRF+ rules
41,Business partner duplicate record found,Data Quality,High,Merge duplicate business partners
42,Search index corrupted,Search,Medium,Recreate search index
43,Material master not replicated to ECC,Replication,Low,Check DRF configuration
44,Invalid business rule detected,Validation,Low,Review validation logic
45,Replication queue blocked,Replication,Critical,Clear outbound queue
46,Business partner search returns no results,Search,Low,Rebuild search index
47,Material master not replicated to ECC,Replication,Low,Check DRF configuration
48,Search returns incorrect results,Search,Critical,Synchronize search index
49,Search performance is slow,Search,Critical,Optimize HANA indexes
50,Material master not replicated to ECC,Replication,Low,Check DRF configuration
51,Search returns incorrect results,Search,High,Synchronize search index
52,Search performance is slow,Search,Medium,Optimize HANA indexes
53,Material type validation error,Validation,Low,Correct validation rule
54,Approval agent not assigned,Workflow,Critical,Update workflow configuration
55,Business partner duplicate record found,Data Quality,Critical,Merge duplicate business partners
56,Workflow approval stuck,Workflow,Medium,Restart workflow
57,Mandatory field missing,Validation,High,Provide mandatory values
58,Customer replication failed,Replication,High,Restart replication service
59,Customer validation failed,Validation,Critical,Review BRF+ rules
60,Workflow timeout occurred,Workflow,High,Review workflow logs
61,Search index corrupted,Search,Medium,Recreate search index
62,Invalid business rule detected,Validation,Medium,Review validation logic
63,Vendor replication failed,Replication,Critical,Verify SOA services
